kind,name,line,dimen_or_index,within_or_default,has_derivation,already_loaded,references_variables,references,complexity,body_chars
param,datetime0,1,,,True,False,False,,simple,8
set,entity,16,,,False,True,False,,data_loaded,0
set,process,20,,entity,False,True,False,,data_loaded,0
set,node,21,,entity,False,True,False,,data_loaded,0
set,group,22,,,False,True,False,,data_loaded,0
set,commodity,23,,,False,True,False,,data_loaded,0
set,period_time,24,2,,False,True,False,,data_loaded,0
set,period__time_first,25,,period_time,False,True,False,,data_loaded,0
set,period__time_last,26,,period_time,False,True,False,,data_loaded,0
set,solve_period_timeset,27,3,,False,True,False,,data_loaded,0
set,solve_period,28,,,True,False,False,solve_period_timeset,simple,49
set,period_capacity,29,,,False,True,False,,data_loaded,0
set,period_solve,30,,,True,False,False,solve_period,simple,33
set,solve_current,31,1,,False,True,False,,data_loaded,0
set,period_from_model,32,1,,False,True,False,,data_loaded,0
set,period_from_period_time,33,,,True,False,False,period_time,simple,33
set,period,34,,,True,False,False,"period_from_model,period_from_period_time",multi_clause,47
set,period_first,35,1,period,False,True,False,,data_loaded,0
set,period_last,36,1,period,False,True,False,,data_loaded,0
set,branch_all,37,1,,False,True,False,,data_loaded,0
set,time_branch_all,38,1,,False,True,False,,data_loaded,0
set,period__branch,39,2,"{period, period}",False,True,False,,data_loaded,0
set,branch,40,,,True,False,False,period__branch,simple,33
set,period__year,41,2,,False,True,False,,data_loaded,0
set,year,42,,,True,False,False,period__year,simple,32
set,timeline__timestep__duration,43,3,,False,True,False,,data_loaded,0
set,time,44,,,True,False,False,timeline__timestep__duration,simple,61
set,timeset__timeline,45,2,,False,True,False,,data_loaded,0
set,timeline,46,,,True,False,False,timeset__timeline,simple,41
set,period__timeline,47,,,True,False,False,"period,solve_current,solve_period_timeset,timeline,timeset__timeline",joining,127
set,method,48,,,False,False,False,,data_loaded,0
set,upDown,49,,,False,False,False,,data_loaded,0
set,ct_method,50,,,False,False,False,,data_loaded,0
set,ct_method_constant,51,,ct_method,False,False,False,,data_loaded,0
set,ct_method_regular,52,,ct_method,False,False,False,,data_loaded,0
set,startup_method,53,,,False,False,False,,data_loaded,0
set,startup_method_no,54,,startup_method,False,False,False,,data_loaded,0
set,fork_method,55,,,False,False,False,,data_loaded,0
set,fork_method_yes,56,,fork_method,False,False,False,,data_loaded,0
set,fork_method_no,57,,fork_method,False,False,False,,data_loaded,0
set,reserve_method,58,,,False,False,False,,data_loaded,0
set,ramp_method,59,,,False,False,False,,data_loaded,0
set,ramp_limit_method,60,,ramp_method,False,False,False,,data_loaded,0
set,ramp_cost_method,61,,ramp_method,False,False,False,,data_loaded,0
set,profile,62,,,False,True,False,,data_loaded,0
set,profile_method,63,,,False,False,False,,data_loaded,0
set,debug,64,,,False,True,False,,data_loaded,0
set,test_dt,65,2,,False,False,False,,data_loaded,0
set,test_t,66,1,,False,False,False,,data_loaded,0
set,model,67,,,False,True,False,,data_loaded,0
set,constraint,68,,,False,True,False,,data_loaded,0
set,sense,70,,,False,False,False,,data_loaded,0
set,sense_greater_than,71,,sense,False,False,False,,data_loaded,0
set,sense_less_than,72,,sense,False,False,False,,data_loaded,0
set,sense_equal,73,,sense,False,False,False,,data_loaded,0
set,commodityParam,74,,,False,False,False,,data_loaded,0
set,commodityPeriodParam,76,,commodityParam,False,False,False,,data_loaded,0
set,commodityTimeParam,77,,commodityParam,False,False,False,,data_loaded,0
set,nodeParam,78,,,False,False,False,,data_loaded,0
set,nodeParam_def1,79,,nodeParam,False,False,False,,data_loaded,0
